text,sentiment
obrol gpt itu bemanu bukan curang,negatif
kalau bisa di perbiheh kan guna nya ketika praktikum agar bisa lebih jelas lagi konsep paham matkul kadar kan apa yang di bilang dosen tuh masuk ke dalam gituak,negatif
jangan candu chatgpt ga kerja nnti,negatif
sedia prompt yang baik benar,negatif
banyak org terlalu sering copy pasta jawab dari chatgpt baik guna tari jelas engenai suatu masalah paham jelas chatgpt,negatif
guna chatgpt dalam didik jadi lebih cepat majejakan jika adaaan atau soal yang tenjak di tahu seperti program kode kak dan menngkatkan paham material ju ,negatif
guna chatgpt didik jadi alat bantu efektif fasilitas pembeljaaran mandiri jelas tambah menaraa siswa siswa kapan ineri membantum ban membantum sajagaya dan cepat siswa serta sedia aksses ke informasi cara instan namun penting tentang menggunakanyaa dang bijak pasti siswa tetap pikir kritis dan tidak hanya gantung pada teknologi mempikahkan masa -teknologi lukahankankankankankankankankankankankankankankankankankankankankankankankankankankankankankankan kanhankan,negatif
agar chatgpt pakai referensi dalam selesa tugas atuu kerja lain,negatif
jangan terlalu sering lah nantik kita gak akan kembang jika terlalu gantung delan cet jpt,negatif
pandu guna cara bijak perlu syarat dan tentu yang pakat,positif
chatgpt jangan jadi bagai sumber referensi utama guna sumber informasi dari buku jurnal dan situs web yang percaya,negatif
hadir chatgpt bagai bentuk terobos uukur menjawarb bagai problematika informasi chatgpt jadi bagai sarana tunjang akademis,negatif
dengan mergunakan ai ini tentu kita lebih muda paham ajar yang ingin cari sesuai dengan tahu kita dan jangan terlalu sering pedoman ke paya ai ini dapatismemekisman dapatismeri jadi ketegantanman maaarmumemangangammangangan plaimisman dapatismangangan kepatisman kepatisman malas,negatif
guna chatgpt bagai tools dan bukan solusi karena output yang beri tetap harus dia dan proses agar originalitas karya tetap jaga,negatif
saran saya jangan salah guna chatgpt untuk cari jawab soal ketika kuis atau uji serta jangan buga buat lapor dengan analisa dari chatgpt apabila tidak di baca ulang apa yang teliskanan kan,negatif
